Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,ConservationStatus,IsSensitive,ThumbnailUrl
Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Chrysso,Chrysso nigriceps,Araña de cabeza negra,chrysso-nigriceps,Pequeña araña tejedora de telarañas irregulares. Se encuentra frecuentemente en el sotobosque de selvas tropicales.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Cinchona,Cinchona pubescens,Quina,cinchona-pubescens,"Árbol histórico cuya corteza contiene quinina, utilizada tradicionalmente contra la malaria. Es una especie emblemática de los bosques andinos.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/54376550/original.jpg
Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cinclodes,Cinclodes excelsior,Remolinera andina,cinclodes-excelsior,Ave de alta montaña que habita en páramos y zonas rocosas. Se caracteriza por su comportamiento activo cerca de fuentes de agua.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus leucocephalus,Mirlo acuático de cabeza blanca,cinclus-leucocephalus,Ave pequeña de plumaje oscuro con cabeza y pecho blancos que habita en ríos de montaña. Es conocida por su capacidad de sumergirse en aguas rápidas para buscar alimento.,LC,False,http://upload.wikimedia.org/wikipedia/commons/2/2f/White-capped_Dipper_%28Cinclus_leucocephalus%29.jpg
Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cinnycerthia,Cinnycerthia olivascens,Cucarachero oliváceo,cinnycerthia-olivascens,Ave pequeña de coloración marrón olivácea que habita en el sotobosque de bosques nublados. Se caracteriza por su canto complejo y comportamiento social en grupos familiares.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cinnycerthia,Cinnycerthia unirufa,Cucarachero rufo,cinnycerthia-unirufa,Ave de plumaje uniformemente rufo que habita en los bosques de alta montaña. Es una especie gregaria que se desplaza en grupos ruidosos a través de la vegetación densa.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/163431025/large.jpeg
Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,Cistothorus platensis,Cucarachero de los pajonales,cistothorus-platensis,Ave pequeña que habita principalmente en ecosistemas de páramo y pastizales altos. Construye nidos esféricos ocultos entre la vegetación graminoide.,LC,False,
Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Clathrus,Clathrus archeri,Hongo pulpo,clathrus-archeri,Hongo saprófito caracterizado por sus brazos rojizos que emergen de un huevo gelatinoso. Posee un olor fétido para atraer insectos que dispersan sus esporas.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Clavija,Clavija latifolia,Clavija,clavija-latifolia,Arbusto de sotobosque con hojas grandes dispuestas en roseta terminal. Produce flores vistosas y frutos carnosos que sirven de alimento a la fauna local.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/100685714/original.jpg
Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Clelia,Clelia clelia,Culebra cazadora negra,clelia-clelia,"Serpiente de gran tamaño conocida por ser ofiófaga, es decir, que se alimenta de otras serpientes. Es inofensiva para el ser humano y juega un papel clave en el control de poblaciones de otros reptiles.",LC,False,http://upload.wikimedia.org/wikipedia/commons/5/53/Mussurana2.jpg
Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Clelia,Clelia equatoriana,Culebra cazadora ecuatoriana,clelia-equatoriana,"Serpiente de hábitos terrestres y nocturnos que habita en zonas boscosas. Se especializa en la depredación de otras serpientes, incluyendo especies venenosas.",LC,False,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Clibadium,Clibadium surinamense,Barbasco,clibadium-surinamense,Arbusto de rápido crecimiento común en áreas perturbadas y bordes de bosque. Sus hojas contienen compuestos químicos utilizados tradicionalmente para la pesca.,LC,False,https://upload.wikimedia.org/wikipedia/commons/e/e4/Clibadium_surinamense_2.jpg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Cnemathraupis,Cnemathraupis eximia,Tangara de montaña pechidorada,cnemathraupis-eximia,"Ave de plumaje colorido, principalmente verde y amarillo, que habita en los bosques altoandinos. Es una especie muy activa que se alimenta de frutos y néctar en el dosel.",LC,False,
Animalia,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,Cnemidophorus lemniscatus,Lagarto rayado,cnemidophorus-lemniscatus,Es un lagarto ágil de cuerpo esbelto con bandas longitudinales claras sobre un fondo oscuro. Habita principalmente en zonas abiertas y áreas perturbadas de tierras bajas.,LC,False,https://upload.wikimedia.org/wikipedia/commons/6/6c/Rainbow_whiptail_%28Cnemidophorus_lemniscatus%29_Parque_Nacional_Natural_Tayrona_04.jpg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Cnemoscopus,Cnemoscopus rubrirostris,Tangara de pico rojo,cnemoscopus-rubrirostris,Ave de plumaje grisáceo con un distintivo pico rojizo y una mancha amarilla en la corona. Se encuentra principalmente en los bosques nublados de los Andes colombianos.,LC,False,
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccycua,Coccycua pumila,Cuclillo enano,coccycua-pumila,"Un cuclillo pequeño de coloración parda y vientre claro, difícil de observar debido a su comportamiento sigiloso. Habita en bordes de bosque y zonas de vegetación densa.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/173608622/large.jpeg
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,Cuclillo piquiamarillo,coccyzus-americanus,"Ave migratoria de cuerpo esbelto, dorso café y vientre blanco con un pico bicolor característico. Es un visitante estacional en los bosques colombianos.",LC,False,http://upload.wikimedia.org/wikipedia/commons/3/34/Coccyzus-americanus-001.jpg
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus melacoryphus,Cuclillo piquioscuro,coccyzus-melacoryphus,"Similar a otros cuclillos, se distingue por su pico completamente oscuro y su canto melancólico. Frecuenta áreas arboladas y matorrales en diversas altitudes.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/118741546/original.jpeg
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,Coeligena coeligena,Inca bronceado,coeligena-coeligena,Colibrí de plumaje predominantemente bronceado con un pico largo y recto. Es una especie emblemática de los bosques andinos de Caldas.,LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,Coeligena lutetiae,Inca ventrianteado,coeligena-lutetiae,Colibrí de gran tamaño con un plumaje oscuro y una banda iridiscente en el pecho. Habita en los estratos altos de los bosques nublados andinos.,LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,Coeligena torquata,Inca acollarado,coeligena-torquata,Se caracteriza por su plumaje negro aterciopelado y una banda blanca brillante en el pecho. Es un polinizador clave en los ecosistemas de alta montaña.,LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,Coeligena wilsoni,Inca de Wilson,coeligena-wilsoni,Colibrí con una coloración distintiva que incluye tonos verdes y una mancha blanca en la garganta. Habita en las laderas occidentales de los Andes.,NT,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,Coereba flaveola,Mielero común,coereba-flaveola,"Ave pequeña con dorso oscuro, vientre amarillo brillante y una ceja blanca característica. Es muy común en jardines y áreas abiertas de toda Colombia.",LC,False,
Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes punctigula,Carpintero pechipunteado,colaptes-punctigula,Ave de tamaño mediano con plumaje moteado en el pecho y una distintiva mancha roja en la corona. Habita principalmente en bordes de bosques húmedos y áreas arboladas de Caldas.,LC,False,
Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes rivolii,Carpintero candela,colaptes-rivolii,"Carpintero de gran tamaño con colores vibrantes, incluyendo tonos rojizos y dorados. Es una especie emblemática de los bosques altoandinos de la cordillera Central.",LC,False,
Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes rubiginosus,Carpintero oliváceo,colaptes-rubiginosus,Presenta un plumaje con tonos oliva y barrado característico en las partes inferiores. Se encuentra frecuentemente en bosques montanos y cafetales con sombra.,LC,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,Colibri coruscans,Colibrí rutilante,colibri-coruscans,Colibrí de tamaño grande con un plumaje iridiscente azul y verde. Es muy común en jardines y áreas abiertas de los Andes colombianos.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/176046748/original.jpeg
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,Colibri cyanotus,Colibrí orejivioleta menor,colibri-cyanotus,Se distingue por sus parches violetas en los lados de la cabeza. Habita en bosques nublados y zonas de transición en Caldas.,LC,False,
Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,Colinus cristatus,Codorniz crestada,colinus-cristatus,Ave terrestre pequeña con una cresta distintiva y plumaje críptico. Prefiere zonas de pastizales y matorrales en tierras bajas y medias.,LC,False,http://upload.wikimedia.org/wikipedia/commons/3/33/Colinus_cristatus_-Curacao%2C_Netherlands_Antilles-8a.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Colobura,Colobura dirce,Mariposa mosaico,colobura-dirce,Mariposa con un patrón alar que asemeja un mosaico oscuro con bandas blancas. Es común verla alimentándose de savia de árboles y frutas fermentadas.,NE,False,
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Colonia,Colonia colonus,Atrapamoscas colilargo,colonia-colonus,Ave pequeña con una cola extremadamente larga y delgada. Se observa frecuentemente en las copas de los árboles en bordes de bosque.,LC,False,
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba livia,Paloma doméstica,columba-livia,"Ave cosmopolita ampliamente adaptada a entornos urbanos. En Caldas, habita principalmente en parques y plazas de los municipios.",LC,False,https://upload.wikimedia.org/wikipedia/commons/3/38/050529_Barcelona_110.jpg
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Tortolita rojiza,columbina-talpacoti,"Pequeña paloma de coloración rojiza, muy común en áreas abiertas y jardines. Es una especie muy adaptable a la presencia humana.",LC,False,https://upload.wikimedia.org/wikipedia/commons/a/aa/Columbina_talpacoti.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea anisophylla,Columnea,columnea-anisophylla,Epífita neotropical con hojas desiguales y flores tubulares llamativas. Es característica de los bosques nublados de los Andes colombianos.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/175982652/original.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea bilabiata,Columnea,columnea-bilabiata,Planta epífita con flores bilabiadas distintivas que atraen polinizadores especializados. Se encuentra en los estratos medios de bosques húmedos.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/232525701/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea ceticeps,Columnea,columnea-ceticeps,Especie epífita con flores de morfología compleja adaptadas a la polinización por aves. Habita en zonas de alta humedad en Caldas.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea dimidiata,Columnea,columnea-dimidiata,Planta herbácea epífita con hojas de base asimétrica. Sus flores rojas son un componente visual importante en el sotobosque andino.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/179035949/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea fuscihirta,Columnea,columnea-fuscihirta,Especie caracterizada por la presencia de tricomas oscuros en sus tallos y hojas. Es una planta poco común en los bosques de niebla.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea picta,Columnea,columnea-picta,Planta epífita con patrones de coloración llamativos en sus hojas y flores. Es valorada por su resistencia en condiciones de alta humedad.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/13135179/large.jpg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea strigosa,Columnea,columnea-strigosa,Especie con pubescencia estrigosa en sus estructuras vegetativas. Se distribuye en los bosques montanos de la cordillera Central.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/175842452/original.jpg
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Comparettia,Comparettia falcata,Orquídea de fuego,comparettia-falcata,Orquídea epífita pequeña con flores de color rojo intenso o rosado. Es muy apreciada por su belleza y facilidad de cultivo en climas templados.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Conchylodes,Conchylodes bryophilalis,Polilla de las hojas,conchylodes-bryophilalis,Pequeña polilla con patrones alares complejos. Es un componente importante de la biodiversidad de insectos en ecosistemas de Caldas.,NE,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Conirostrum,Conirostrum albifrons,Conirrostro frentiblanco,conirostrum-albifrons,Ave pequeña de plumaje grisáceo con una mancha blanca distintiva en la frente. Se alimenta de insectos y néctar en el dosel de los bosques andinos.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Conirostrum,Conirostrum sitticolor,Conirrostro pechiazul,conirostrum-sitticolor,Ave pequeña de plumaje azulado y grisáceo que habita en los bosques altoandinos de Caldas. Se alimenta principalmente de insectos y néctar en el dosel arbóreo.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Consul,Consul panariste,Mariposa cónsul,consul-panariste,Mariposa de alas con patrones complejos que imitan hojas secas cuando están cerradas. Es común en zonas boscosas de los Andes colombianos.,NE,False,
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cinereus,Pibí tropical,contopus-cinereus,Ave insectívora de coloración grisácea que se posa en ramas expuestas para cazar presas al vuelo. Es común en bordes de bosque y áreas abiertas de Caldas.,LC,False,https://upload.wikimedia.org/wikipedia/commons/7/72/Contopus_cinereus_cinereus_-_Tropical_Pewee%3B_Ubatuba%2C_S%C3%A3o_Paulo%2C_Brazil.jpg
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cooperi,Pibí boreal,contopus-cooperi,Ave migratoria que visita Colombia durante el invierno boreal. Se caracteriza por su comportamiento territorial y canto distintivo.,NT,False,https://upload.wikimedia.org/wikipedia/commons/5/5e/Olive-sided_Flycatcher_%2833585416604%29.jpg
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus fumigatus,Pibí ahumado,contopus-fumigatus,Ave de coloración oscura que habita en bosques montanos húmedos. Es un cazador aéreo que prefiere las zonas altas de la cordillera.,LC,False,http://upload.wikimedia.org/wikipedia/commons/d/d6/Contopus_fumigatus%2C_Smoke-colored_Pewee.jpg
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,Pibí occidental,contopus-sordidulus,"Migrante neártico que se observa ocasionalmente en Colombia. Es muy similar a otras especies de su género, lo que dificulta su identificación en campo.",LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/180472315/large.jpeg
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus virens,Pibí oriental,contopus-virens,Ave migratoria que transita por Colombia hacia el sur. Se distingue por su canto melancólico y su comportamiento de caza al vuelo.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/116446539/original.jpeg
Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Cookeina,Cookeina speciosa,Copa de hadas,cookeina-speciosa,"Hongo de forma acopada y colores vibrantes, generalmente rosados o rojizos. Crece sobre madera en descomposición en bosques tropicales húmedos.",NE,False,https://upload.wikimedia.org/wikipedia/commons/6/61/Cookeina_speciosa1.jpg
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus disseminatus,Hongo hada,coprinellus-disseminatus,Pequeño hongo que crece en grupos densos sobre madera muerta o suelo rico en materia orgánica. Sus cuerpos fructíferos son efímeros y se descomponen rápidamente.,NE,False,https://images.mushroomobserver.org/orig/1511199.jpg
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis atramentaria,Tintero,coprinopsis-atramentaria,"Hongo conocido por su capacidad de autolisis, donde sus láminas se vuelven un líquido negro similar a la tinta. Es tóxico si se consume junto con alcohol.",NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/176427265/original.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Corades,Corades chelonis,Mariposa satírida de los Andes,corades-chelonis,Mariposa de hábitos montanos que habita en los bosques nublados de los Andes colombianos. Se caracteriza por sus alas de coloración críptica que le permiten camuflarse entre la vegetación.,NE,False,
Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,Coragyps atratus,Gallinazo negro,coragyps-atratus,Ave carroñera de plumaje negro y cabeza desnuda de color grisáceo. Desempeña un papel ecológico fundamental como controlador sanitario al consumir materia orgánica en descomposición.,LC,False,http://upload.wikimedia.org/wikipedia/commons/9/9d/Coragyps-atratus-001.jpg
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cordia,Cordia alliodora,Laurel,cordia-alliodora,"Árbol maderable de gran importancia económica en Colombia, conocido por su madera de alta calidad. Presenta flores blancas fragantes y es común en zonas de ladera en Caldas.",LC,False,https://static.inaturalist.org/photos/123557660/large.jpg
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Cordylancistrus,Cordylancistrus daguae,Corroncho del Dagua,cordylancistrus-daguae,"Pez de agua dulce adaptado a corrientes rápidas, caracterizado por su cuerpo acorazado y boca succionadora. Habita en cuencas hidrográficas de la región andina y pacífica.",DD,False,http://repository.humboldt.org.co/bitstream/handle/20.500.11761/33382/40061.JPG
Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Coriariaceae,Coriaria,Coriaria ruscifolia,Mortiño de monte,coriaria-ruscifolia,Arbusto de alta montaña con frutos pequeños que pueden ser tóxicos si no se manejan adecuadamente. Es una especie pionera en la recuperación de suelos degradados en los Andes.,LC,False,https://upload.wikimedia.org/wikipedia/commons/6/6f/Coriaria_ruscifolia_subsp_microphylla_Irazu_2.jpg
Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,Caracol de jardín,cornu-aspersum,"Molusco terrestre introducido ampliamente en Colombia, adaptado a huertas y jardines. Es considerado una plaga agrícola, pero también tiene usos en gastronomía y cosmética.",NE,False,
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cortaderia,Cortaderia nitida,Cortadera,cortaderia-nitida,Gramínea perenne de gran tamaño que habita en los páramos y zonas altas de los Andes. Sus hojas son cortantes y forman parte esencial del paisaje de los ecosistemas de alta montaña.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/37572242/original.jpeg
Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,Corydalus,Megalóptero,corydalus,Insecto de gran tamaño cuyas larvas son acuáticas y actúan como bioindicadores de la calidad del agua. Los adultos poseen mandíbulas prominentes y son atraídos por la luz artificial.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/110289797/original.jpg
Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus pulverulentus,Caña agria,costus-pulverulentus,Planta herbácea perenne con inflorescencias llamativas de color rojo. Es común en el sotobosque húmedo y es valorada por su belleza ornamental.,LC,False,http://upload.wikimedia.org/wikipedia/commons/5/5d/Costus_pulverulentus_1.jpg
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Couma,Couma macrocarpa,Lechero,couma-macrocarpa,Árbol de mediano a gran tamaño que produce un látex blanco abundante y frutos comestibles. Es una especie importante en los bosques húmedos tropicales por su valor alimenticio para la fauna.,LC,False,http://upload.wikimedia.org/wikipedia/commons/0/04/Couma_macrocarpa.JPG
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides,Achicoria silvestre,crassocephalum-crepidioides,Hierba anual de rápido crecimiento considerada una maleza invasora en cultivos de Caldas. Sus hojas son comestibles y se consumen en algunas regiones como verdura.,NE,False,
Animalia,Chordata,Amphibia,Anura,Craugastoridae,Craugastor,Craugastor longirostris,Rana de lluvia de hocico largo,craugastor-longirostris,Anfibio pequeño que habita en el suelo de bosques húmedos. Se caracteriza por su hocico prominente y desarrollo directo sin fase de renacuajo.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/10429621/large.jpeg
Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocosmia,Crocosmia crocosmiiflora,Lucifer,crocosmia-crocosmiiflora,Planta ornamental de flores rojas intensas muy común en jardines de la zona cafetera. Es una especie exótica que puede volverse invasora en áreas naturales.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton leptostachyus,Drago,croton-leptostachyus,Arbusto o árbol pequeño que produce un látex característico. Es común en los bosques secundarios y áreas perturbadas de los Andes colombianos.,NE,False,https://live.staticflickr.com/3890/14365803283_128c4cd73d_b.jpg
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,Garrapatero,crotophaga-ani,Ave de plumaje negro y pico distintivo que suele verse en grupos. Se alimenta de insectos y garrapatas que encuentra en el ganado.,LC,False,https://upload.wikimedia.org/wikipedia/commons/0/0e/Crotophaga-ani-001.jpg
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga major,Garrapatero mayor,crotophaga-major,"Especie de mayor tamaño que el garrapatero común, con un pico muy prominente. Habita principalmente en zonas cercanas a cuerpos de agua y áreas pantanosas.",LC,False,http://upload.wikimedia.org/wikipedia/commons/d/d9/Crotophaga_major_%28Greater_Ani%29.jpg
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga sulcirostris,Garrapatero piquiestriado,crotophaga-sulcirostris,Similar al garrapatero común pero con estrías visibles en el pico. Es un ave gregaria que se encuentra en zonas abiertas y cultivos.,LC,False,http://upload.wikimedia.org/wikipedia/commons/5/54/Crotophaga_sulcirostris_CR_bis.JPG
Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus soui,Tinamú chico,crypturellus-soui,Ave terrestre de hábitos esquivos que habita en el sotobosque. Es difícil de observar debido a su plumaje críptico y comportamiento cauteloso.,LC,False,
Animalia,Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius coccineus,Araña bananera,cupiennius-coccineus,"Araña errante de gran tamaño que suele encontrarse en plantaciones de plátano. No es agresiva, pero su veneno puede causar molestias locales.",NE,False,
Animalia,Arthropoda,Insecta,Hemiptera,Nepidae,Curicta,Curicta sp.,Chinche de agua,curicta-sp,Insecto acuático depredador que habita en aguas quietas o de flujo lento. Se caracteriza por su cuerpo alargado y un sifón respiratorio posterior.,NE,False,
Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Cyanocorax affinis,Carriquí pechiblanco,cyanocorax-affinis,Ave de plumaje negro y blanco con una cresta distintiva. Es común en zonas cafeteras de Caldas y se caracteriza por su comportamiento social y ruidoso.,LC,False,
Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Cyanocorax yncas,Carriquí verdiamarillo,cyanocorax-yncas,"Ave colorida con plumaje verde, amarillo y azul, muy emblemática en los Andes colombianos. Habita en bosques húmedos y bordes de selva en Caldas.",LC,False,
Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanolyca,Cyanolyca armillata,Carriquí de collar,cyanolyca-armillata,Ave de color azul oscuro con una banda negra en el pecho que simula un collar. Se encuentra en los bosques de niebla de la cordillera Central.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Cyanopepla,Cyanopepla micans,Polilla metálica,cyanopepla-micans,Polilla de hábitos diurnos con alas de color azul metálico brillante. Es un polinizador poco estudiado en los ecosistemas andinos.,NE,False,
Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyathea,Cyathea caracasana,Helecho arbóreo,cyathea-caracasana,Helecho de gran tamaño que puede alcanzar varios metros de altura. Es una especie clave en la estructura de los bosques de niebla de Caldas.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/179939677/large.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cybdelis,Cybdelis mnasylus,Mariposa de manchas,cybdelis-mnasylus,Mariposa neotropical con patrones de coloración complejos en sus alas. Habita en zonas boscosas y es sensible a la degradación del hábitat.,NE,False,
Animalia,Chordata,Aves,Passeriformes,Vireonidae,Cyclarhis,Cyclarhis nigrirostris,Sirirí de cejas negras,cyclarhis-nigrirostris,Ave pequeña con un canto melodioso y distintivo. Se encuentra en los bordes de bosque y zonas arbustivas de la región andina.,LC,False,
Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cyclocephala,Cyclocephala lunulata,Escarabajo rinoceronte,cyclocephala-lunulata,Escarabajo de hábitos nocturnos que se alimenta de materia orgánica en descomposición. Es un polinizador importante para ciertas especies de plantas.,NE,False,
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Cymatoderma,Cymatoderma elegans,Hongo abanico,cymatoderma-elegans,Hongo con forma de abanico o roseta que crece sobre madera en descomposición. Es un descomponedor esencial en los bosques húmedos.,NE,False,https://storage.googleapis.com/mo-image-archive-bucket/orig/1070869.jpg
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cynodon,Cynodon nlemfuensis,Pasto estrella,cynodon-nlemfuensis,Gramínea introducida ampliamente utilizada en la ganadería colombiana. Es muy resistente al pastoreo y se adapta bien a diferentes suelos.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/56700332/original.jpeg
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynodonichthys,Cynodonichthys boehlkei,Pez rivulín de Boehlke,cynodonichthys-boehlkei,Pequeño pez de agua dulce característico de arroyos sombreados en zonas tropicales. Posee una coloración críptica que le permite camuflarse entre la hojarasca del fondo.,NE,False,https://images.phylopic.org/images/35dac003-e0f9-4f52-970c-2c42d5efb719/raster/1024x473.png
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynodonichthys,Cynodonichthys magdalenae,Rivulín del Magdalena,cynodonichthys-magdalenae,Especie endémica de la cuenca del río Magdalena que habita en cuerpos de agua lénticos. Es sensible a la degradación de la calidad del agua y la deforestación riparia.,NE,False,https://inaturalist-open-data.s3.amazonaws.com/photos/72240117/original.jpeg
Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,Cyphocharax,Cyphocharax magdalenae,Bocachico pequeño,cyphocharax-magdalenae,Pez detritívoro de importancia ecológica en los ríos de la cuenca del Magdalena. Desempeña un papel crucial en el ciclo de nutrientes al procesar materia orgánica del lecho fluvial.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/122376293/original.jpg
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,Cyrtochilum annulare,Orquídea anillada,cyrtochilum-annulare,Orquídea epífita de gran tamaño con inflorescencias ramificadas y flores llamativas. Habita en bosques nublados de alta montaña en los Andes colombianos.,NE,False,
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,Cyrtochilum diceratum,Orquídea de cuernos,cyrtochilum-diceratum,Especie de orquídea caracterizada por sus estructuras florales complejas que simulan cuernos. Se encuentra en ecosistemas de bosque altoandino con alta humedad.,NE,False,
